PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-12-01T07:20:00Z,50.7405,1.5677,10.881,28.771,,3.263,0.629,1.39,0,3.709,2349,,21.269,0,5.57,001111191110119141
6200443,0x3f,2024-12-01T07:40:00Z,50.7405,1.5677,10.906,28.788,,3.267,0.64,1.38,0,3.668,2337,,21.257,0,5.341,001111191110119141
6200443,0x3f,2024-12-01T08:00:01Z,50.7405,1.5677,,,23.72,,1.4,,,,,,,,,001119909799999999
6200443,0x3f,2024-12-01T09:00:00Z,50.7405,1.5677,10.968,28.874,,3.28,0.631,1.28,0,3.693,2164,,19.662,0,5.294,001111191110119141
6200443,0x3f,2024-12-01T09:20:00Z,50.7405,1.5677,10.955,28.907,,3.283,0.623,1.29,0,3.774,2176,,19.823,0,5.244,001111191110119141
6200443,0x3f,2024-12-01T09:40:00Z,50.7405,1.5677,10.916,28.974,,3.287,0.631,1.31,0,3.575,2213,,20.107,0,5.393,001111191110119141
6200443,0x3f,2024-12-01T11:00:00Z,50.7405,1.5677,10.811,29.104,,3.292,0.601,1.25,0,1.459,2114,,19.093,0,5.756,001111191110119141
6200443,0x3f,2024-12-01T11:20:00Z,50.7405,1.5677,10.797,29.156,,3.296,0.635,1.22,0,1.636,2065,,18.821,0,5.397,001111191110119141
6200443,0x3f,2024-12-01T11:40:00Z,50.7405,1.5677,10.789,29.196,,3.299,0.621,1.28,0,1.857,2164,,19.563,0,5.426,001111191110119141
6200443,0x3f,2024-12-01T12:00:01Z,50.7405,1.5677,10.79,29.214,,3.302,1.4,1.26,0,1.949,2139,2.82,19.365,0,5.327,001111191710111141
6200443,0x3f,2024-12-01T12:20:00Z,50.7405,1.5677,10.774,29.273,,3.301,0.605,1.2,0,2.008,2028,,18.438,0,5.353,001111191110119141
6200443,0x3f,2024-12-01T12:40:00Z,50.7405,1.5677,10.769,29.256,,3.303,0.632,1.18,0,2.674,2003,,18.079,0,5.351,001111191110119141
6200443,0x3f,2024-12-01T13:00:00Z,50.7405,1.5677,10.768,29.289,,3.307,0.617,1.12,0,2.598,1892,,17.114,0,5.457,001111191110119141
6200443,0x3f,2024-12-01T13:20:00Z,50.7405,1.5677,10.756,29.335,,3.309,0.615,1.15,0,2.321,1953,,17.708,0,5.591,001111191110119141
6200443,0x3f,2024-12-01T13:40:00Z,50.7405,1.5677,10.745,29.356,,3.312,0.621,1.13,0,2.475,1916,,17.423,0,5.545,001111191110119141
6200443,0x3f,2024-12-01T14:00:00Z,50.7405,1.5677,10.73,29.381,,3.313,0.621,1.09,0,2.962,1842,,16.682,0,5.516,001111191110119141
6200443,0x3f,2024-12-01T14:20:00Z,50.7405,1.5677,10.731,29.385,,3.314,0.602,1.06,0,2.86,1805,,16.323,0,5.576,001111191110119141
6200443,0x3f,2024-12-01T14:40:00Z,50.7405,1.5677,10.733,29.397,,3.315,0.61,1.14,0,1.588,1941,,17.498,0,6.16,001111191110119141
6200443,0x3f,2024-12-01T15:00:00Z,50.7405,1.5677,10.734,29.42,,3.317,0.599,1.15,0,1.37,1953,,17.609,0,5.65,001111191110119141
6200443,0x3f,2024-12-01T15:20:00Z,50.7405,1.5677,10.745,29.444,,3.321,0.606,1.35,0,1.795,2287,,20.663,0,6.065,001111191110119141
6200443,0x3f,2024-12-01T15:40:00Z,50.7405,1.5677,10.743,29.534,,3.33,0.622,1.47,0,1.745,2497,,22.531,0,5.898,001111191110119141
6200443,0x3f,2024-12-01T16:00:01Z,50.7405,1.5677,,,23.58,,1.4,,,,,,,,,001119909799999999
6200443,0x3f,2024-12-01T17:00:00Z,50.7405,1.5677,10.677,29.549,,3.326,0.604,1.54,0,2.557,2621,,23.594,0,5.776,001111191110119141
6200443,0x3f,2024-12-01T17:20:00Z,50.7405,1.5677,10.669,29.573,,3.328,0.605,1.57,0,1.349,2671,,24.076,0,6.354,001111191110119141
6200443,0x3f,2024-12-01T17:40:00Z,50.7405,1.5677,10.661,29.594,,3.328,0.611,1.52,0,1.218,2584,,23.248,0,6.009,001111191110119141
6200443,0x3f,2024-12-01T18:00:02Z,50.7405,1.5677,,,,,1.4,,,,,2.75,,,,001119999799991999
6200443,0x3f,2024-12-01T18:00:03Z,50.7405,1.5677,10.648,29.598,,3.328,0.591,1.49,0,2.066,2535,,22.79,0,6.589,001111191110119141
6200443,0x3f,2024-12-01T18:20:00Z,50.7405,1.5677,10.665,29.626,,3.333,0.627,1.51,0,2.253,2559,,23.062,0,6.088,001111191110119141
6200443,0x3f,2024-12-01T18:40:00Z,50.7405,1.5677,10.719,29.623,,3.335,0.598,1.49,0,2.413,2535,,22.914,0,5.892,001111191110119141
6200443,0x3f,2024-12-01T19:00:00Z,50.7405,1.5677,10.766,29.651,,3.344,0.601,1.49,0,2.476,2522,,22.84,0,7.669,001111191110119141
6200443,0x3f,2024-12-01T19:20:00Z,50.7405,1.5677,10.824,29.701,,3.351,0.614,1.57,0,3.126,2658,,24.027,0,6.512,001111191110119141
6200443,0x3f,2024-12-01T19:40:00Z,50.7405,1.5677,10.875,29.723,,3.359,0.601,1.71,0,3.002,2906,,26.278,0,6.218,001111191110119141
6200443,0x3f,2024-12-01T20:00:00Z,50.7405,1.5677,10.901,29.755,,3.365,0.618,1.86,0,2.398,3153,,28.652,0,6.407,001111191110119141
6200443,0x3f,2024-12-01T20:20:00Z,50.7405,1.5677,10.911,29.873,,3.378,0.597,1.97,0,2.061,3351,,30.445,0,6.834,001111191110119141
6200443,0x3f,2024-12-01T20:40:00Z,50.7405,1.5677,10.925,29.9,,3.384,0.625,2.17,0,3.132,3685,,33.462,0,7.273,001111191110119141
6200443,0x3f,2024-12-01T21:00:00Z,50.7405,1.5677,10.929,30.276,,3.404,0.591,2.24,0,1.949,3808,,34.575,0,15.744,001111191110119141
6200443,0x3f,2024-12-01T21:20:00Z,50.7405,1.5677,10.932,30.032,,3.397,0.614,2.25,0,2.442,3833,,34.786,0,11.415,001111191110119141
6200443,0x3f,2024-12-01T21:40:00Z,50.7405,1.5677,10.926,30.163,,3.405,0.606,2.2,0,2.452,3746,,33.969,0,14.991,001111191110119141
6200443,0x3f,2024-12-01T22:00:01Z,50.7405,1.5677,10.908,30.285,,3.415,0.611,2.07,0,2.485,3524,,32.016,0,14.968,001111191110119141
6200443,0x3f,2024-12-01T22:20:00Z,50.7405,1.5677,10.873,30.312,,3.419,0.606,1.9,0,2.555,3239,,29.456,0,14.11,001111191110119141
6200443,0x3f,2024-12-01T22:40:00Z,50.7405,1.5677,10.839,30.365,,3.421,0.599,1.84,0,3.208,3141,,28.368,0,20.689,001111191110119141
6200443,0x3f,2024-12-02T01:00:00Z,50.7405,1.5677,10.79,30.618,,3.444,0.596,1.59,0,2.278,2708,,24.447,0,20.365,001111191110119141
6200443,0x3f,2024-12-02T01:20:00Z,50.7405,1.5677,10.79,30.7,,3.45,0.575,1.77,0,2.126,3017,,27.354,0,20.372,001111191110119141
6200443,0x3f,2024-12-02T01:40:00Z,50.7405,1.5677,10.788,30.73,,3.456,0.586,1.87,0,1.642,3190,,28.924,0,18.111,001111191110119141
6200443,0x3f,2024-12-02T02:00:00Z,50.7405,1.5677,10.793,30.806,,3.464,0.589,2.22,0,1.594,3796,,34.167,0,25.024,001111191110119141
6200443,0x3f,2024-12-02T02:20:00Z,50.7405,1.5677,10.811,30.832,,3.467,0.568,2.14,0,1.29,3660,,33.166,0,15.919,001111191110119141
6200443,0x3f,2024-12-02T02:40:00Z,50.7405,1.5677,10.823,30.917,,3.477,0.58,1.81,0,3.803,3103,,28.133,0,17.045,001111191110119141
6200443,0x3f,2024-12-02T03:00:01Z,50.7405,1.5677,10.835,30.925,,3.478,0.563,1.81,0,3.295,3091,,28.034,0,15.368,001111191110119141
6200443,0x3f,2024-12-02T03:20:00Z,50.7405,1.5677,10.847,30.914,,3.479,0.578,2.25,0,2.249,3845,,34.761,0,16.173,001111191110119141
6200443,0x3f,2024-12-02T03:40:00Z,50.7405,1.5677,10.849,30.948,,3.482,0.593,2.32,0,1.202,3969,,35.948,0,15.044,001111191110119141
6200443,0x3f,2024-12-02T04:00:00Z,50.7405,1.5677,10.855,30.946,,3.482,0.573,2.31,0,3.467,3957,,35.861,0,15.176,001111191110119141
6200443,0x3f,2024-12-02T04:20:00Z,50.7405,1.5677,10.855,30.943,,3.483,0.587,2.3,0,2.907,3932,,35.639,0,16.861,001111191110119141
6200443,0x3f,2024-12-02T04:40:00Z,50.7405,1.5677,10.854,30.989,,3.487,0.597,2.36,0,1.48,4031,,36.492,0,19.243,001111191110119141
6200443,0x3f,2024-12-02T05:00:00Z,50.7405,1.5677,10.854,30.975,,3.485,0.567,2.32,0,1.231,3969,,35.874,0,19.062,001111191110119141
6200443,0x3f,2024-12-02T05:20:00Z,50.7405,1.5677,10.859,30.976,,3.486,0.566,2.36,0,2.243,4043,,36.616,0,19.081,001111191110119141
6200443,0x3f,2024-12-02T05:40:00Z,50.7405,1.5677,10.845,30.985,,3.485,0.567,2.46,0,1.881,4204,,38.137,0,19.668,001111191110119141
6200443,0x3f,2024-12-02T06:00:01Z,50.7405,1.5677,10.83,31.187,,3.505,0.57,2.99,0,3.011,5119,,46.175,0,23.531,001111191110119141
6200443,0x3f,2024-12-02T06:00:02Z,50.7405,1.5677,,,,,1.4,,,,,2.7,,,,001119999799991999
6200443,0x3f,2024-12-02T06:20:00Z,50.7405,1.5677,10.831,31.348,,3.522,0.592,3.56,0,2.83,6096,,55.004,0,22.052,001111191110119141
6200443,0x3f,2024-12-02T06:40:00Z,50.7405,1.5677,10.848,31.427,,3.531,0.583,3.83,0,3.811,6566,,59.37,0,33.412,001111191110119141
