PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DOX1 LEVEL1 (ml/l),PRES LEVEL1 (decibar),QC
EXIN0002,2024-12-01T00:02:20Z,43.6830,7.3170,17.779,38.1082,5.126,2,01111111
EXIN0002,2024-12-01T00:32:20Z,43.6830,7.3170,17.7758,38.1063,5.094,2,01111111
EXIN0002,2024-12-01T01:02:20Z,43.6830,7.3170,17.7741,38.1088,5.099,2,01111111
EXIN0002,2024-12-01T01:32:20Z,43.6830,7.3170,17.7543,38.1083,5.091,2,01111111
EXIN0002,2024-12-01T02:02:20Z,43.6830,7.3170,17.716,38.1087,5.097,2,01111111
EXIN0002,2024-12-01T02:32:20Z,43.6830,7.3170,17.6846,38.1089,5.11,2,01111111
EXIN0002,2024-12-01T03:02:20Z,43.6830,7.3170,17.6386,38.1087,5.124,2,01111111
EXIN0002,2024-12-01T03:32:20Z,43.6830,7.3170,17.6137,38.1076,5.118,2,01111111
EXIN0002,2024-12-01T04:02:20Z,43.6830,7.3170,17.6216,38.1067,5.108,2,01111111
EXIN0002,2024-12-01T04:32:20Z,43.6830,7.3170,17.6187,38.108,5.106,2,01111111
EXIN0002,2024-12-01T05:02:20Z,43.6830,7.3170,17.7062,38.1111,5.116,2,01111111
EXIN0002,2024-12-01T05:32:20Z,43.6830,7.3170,17.7201,38.112,5.117,2,01111111
EXIN0002,2024-12-01T06:02:20Z,43.6830,7.3170,17.7108,38.1118,5.127,2,01111111
EXIN0002,2024-12-01T06:32:20Z,43.6830,7.3170,17.6909,38.113,5.12,2,01111111
EXIN0002,2024-12-01T07:02:20Z,43.6830,7.3170,17.6873,38.1139,5.123,2,01111111
EXIN0002,2024-12-01T07:32:20Z,43.6830,7.3170,17.6781,38.111,5.11,2,01111111
EXIN0002,2024-12-01T08:02:20Z,43.6830,7.3170,17.6577,38.1113,5.103,2,01111111
EXIN0002,2024-12-01T08:32:20Z,43.6830,7.3170,17.6633,38.11,5.104,2,01111111
EXIN0002,2024-12-01T09:02:20Z,43.6830,7.3170,17.6398,38.1121,5.103,2,01111111
EXIN0002,2024-12-01T09:32:20Z,43.6830,7.3170,17.6317,38.1113,5.115,2,01111111
EXIN0002,2024-12-01T10:02:20Z,43.6830,7.3170,17.6602,38.1125,5.11,2,01111111
EXIN0002,2024-12-01T10:32:20Z,43.6830,7.3170,17.6705,38.1111,5.117,2,01111111
EXIN0002,2024-12-01T11:02:20Z,43.6830,7.3170,17.6606,38.1114,5.119,2,01111111
EXIN0002,2024-12-01T11:32:20Z,43.6830,7.3170,17.6812,38.1125,5.11,2,01111111
EXIN0002,2024-12-01T12:02:20Z,43.6830,7.3170,17.6848,38.1138,5.12,2,01111111
EXIN0002,2024-12-01T12:32:20Z,43.6830,7.3170,17.6902,38.1138,5.129,2,01111111
EXIN0002,2024-12-01T13:02:20Z,43.6830,7.3170,17.6866,38.114,5.128,2,01111111
EXIN0002,2024-12-01T13:32:20Z,43.6830,7.3170,17.6916,38.114,5.127,2,01111111
EXIN0002,2024-12-01T14:02:20Z,43.6830,7.3170,17.6844,38.1138,5.123,2,01111111
EXIN0002,2024-12-01T14:32:20Z,43.6830,7.3170,17.6619,38.1124,5.123,2,01111111
EXIN0002,2024-12-01T15:02:20Z,43.6830,7.3170,17.6758,38.1152,5.121,2,01111111
EXIN0002,2024-12-01T15:32:20Z,43.6830,7.3170,17.6712,38.1125,5.125,2,01111111
EXIN0002,2024-12-01T16:02:20Z,43.6830,7.3170,17.6751,38.1139,5.132,2,01111111
EXIN0002,2024-12-01T16:32:20Z,43.6830,7.3170,17.6984,38.1124,5.116,2,01111111
EXIN0002,2024-12-01T17:02:20Z,43.6830,7.3170,17.6886,38.1124,5.121,2,01111111
EXIN0002,2024-12-01T17:32:20Z,43.6830,7.3170,17.6903,38.1123,5.12,2,01111111
EXIN0002,2024-12-01T18:02:20Z,43.6830,7.3170,17.6667,38.1126,5.114,2,01111111
EXIN0002,2024-12-01T18:32:20Z,43.6830,7.3170,17.6701,38.1125,5.119,2,01111111
EXIN0002,2024-12-01T19:02:20Z,43.6830,7.3170,17.6685,38.1118,5.111,2,01111111
EXIN0002,2024-12-01T19:32:20Z,43.6830,7.3170,17.6653,38.1118,5.104,2,01111111
EXIN0002,2024-12-01T20:02:20Z,43.6830,7.3170,17.6627,38.1114,5.11,2,01111111
EXIN0002,2024-12-01T20:32:20Z,43.6830,7.3170,17.6548,38.1089,5.108,2,01111111
EXIN0002,2024-12-01T21:02:20Z,43.6830,7.3170,17.6411,38.1115,5.107,2,01111111
EXIN0002,2024-12-01T22:32:24Z,43.6830,7.3170,17.6362,38.1111,5.055,2,01111111
EXIN0002,2024-12-01T23:02:24Z,43.6830,7.3170,17.6224,38.1107,5.104,2,01111111
EXIN0002,2024-12-01T23:32:24Z,43.6830,7.3170,17.6258,38.1109,5.096,2,01111111
EXIN0002,2024-12-02T00:02:24Z,43.6830,7.3170,17.6272,38.113,5.093,2,01111111
EXIN0002,2024-12-02T00:32:24Z,43.6830,7.3170,17.6298,38.1124,5.089,2,01111111
EXIN0002,2024-12-02T01:02:24Z,43.6830,7.3170,17.6329,38.1119,5.09,2,01111111
EXIN0002,2024-12-02T01:32:24Z,43.6830,7.3170,17.6355,38.1118,5.092,2,01111111
EXIN0002,2024-12-02T02:02:24Z,43.6830,7.3170,17.6258,38.1116,5.097,2,01111111
EXIN0002,2024-12-02T02:32:24Z,43.6830,7.3170,17.6068,38.1124,5.098,2,01111111
EXIN0002,2024-12-02T03:02:24Z,43.6830,7.3170,17.5993,38.1144,5.098,2,01111111
EXIN0002,2024-12-02T03:32:24Z,43.6830,7.3170,17.6112,38.1108,5.1,2,01111111
EXIN0002,2024-12-02T04:02:24Z,43.6830,7.3170,17.6244,38.1117,5.107,2,01111111
EXIN0002,2024-12-02T04:32:24Z,43.6830,7.3170,17.608,38.1122,5.102,2,01111111
EXIN0002,2024-12-02T05:02:24Z,43.6830,7.3170,17.601,38.1114,5.107,2,01111111
EXIN0002,2024-12-02T05:32:24Z,43.6830,7.3170,17.6047,38.1118,5.106,2,01111111
EXIN0002,2024-12-02T06:02:24Z,43.6830,7.3170,17.6139,38.1118,5.106,2,01111111
EXIN0002,2024-12-02T06:32:24Z,43.6830,7.3170,17.6026,38.1119,5.101,2,01111111
EXIN0002,2024-12-02T07:02:24Z,43.6830,7.3170,17.6101,38.1115,5.102,2,01111111
EXIN0002,2024-12-02T07:32:24Z,43.6830,7.3170,17.6076,38.1117,5.108,2,01111111
EXIN0002,2024-12-02T08:02:24Z,43.6830,7.3170,17.6002,38.1109,5.108,2,01111111
EXIN0002,2024-12-02T08:32:24Z,43.6830,7.3170,17.6125,38.1114,5.114,2,01111111
EXIN0002,2024-12-02T09:02:24Z,43.6830,7.3170,17.6147,38.1118,5.108,2,01111111
EXIN0002,2024-12-02T09:32:24Z,43.6830,7.3170,17.611,38.1117,5.103,2,01111111
EXIN0002,2024-12-02T10:02:24Z,43.6830,7.3170,17.6186,38.1118,5.119,2,01111111
EXIN0002,2024-12-02T10:32:24Z,43.6830,7.3170,17.6209,38.1128,5.115,2,01111111
EXIN0002,2024-12-02T11:02:24Z,43.6830,7.3170,17.6274,38.1132,5.131,2,01111111
EXIN0002,2024-12-02T11:32:24Z,43.6830,7.3170,17.6336,38.1125,5.129,2,01111111
EXIN0002,2024-12-02T12:02:24Z,43.6830,7.3170,17.6409,38.1134,5.12,2,01111111
EXIN0002,2024-12-02T12:32:24Z,43.6830,7.3170,17.6393,38.1137,5.135,2,01111111
EXIN0002,2024-12-02T13:02:24Z,43.6830,7.3170,17.6313,38.1127,5.114,2,01111111
EXIN0002,2024-12-02T13:32:24Z,43.6830,7.3170,17.6359,38.1132,5.128,2,01111111
