PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),LGH4 LEVEL0 (micro einstein m-2 s-1),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200450,0x3f,2024-12-01T00:00:00Z,48.3580,-4.5518,0,100.536,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T00:00:01Z,48.3580,-4.5518,,,,,26.394,,3,,,,,,,,0011199990979999999
6200450,0x3f,2024-12-01T01:00:00Z,48.3580,-4.5518,0,100.536,13.222,33.905,,4.003,2.564,5.66,0.999,2.839,9796,94.913,8.509,3.936,0011174119111011111
6200450,0x3f,2024-12-01T01:20:00Z,48.3580,-4.5518,0,100.538,13.28,33.872,,4.006,2.601,5.66,0.951,3.208,9796,94.858,8.508,4.049,0011174119111011111
6200450,0x3f,2024-12-01T01:40:00Z,48.3580,-4.5518,0,100.537,13.264,33.834,,3.998,2.528,5.63,0.966,2.343,9752,94.582,8.501,4.587,0011174119111011111
6200450,0x3f,2024-12-01T02:00:00Z,48.3580,-4.5518,0,100.537,13.261,33.936,,4.01,2.572,5.64,0.967,2.626,9763,94.737,8.51,4.127,0011174119111011111
6200450,0x3f,2024-12-01T02:20:00Z,48.3580,-4.5518,0,100.536,13.264,33.926,,4.009,2.685,5.66,0.967,3.154,9796,95.057,8.506,4.166,0011174119111011111
6200450,0x3f,2024-12-01T02:40:00Z,48.3580,-4.5518,0,100.535,13.269,33.934,,4.01,2.527,5.64,0.966,2.499,9774,94.792,8.506,4.151,0011174119111011111
6200450,0x3f,2024-12-01T03:00:00Z,48.3580,-4.5518,0,100.538,13.276,33.877,,4.005,2.639,5.65,0.951,2.782,9785,94.913,8.507,4.123,0011174119111011111
6200450,0x3f,2024-12-01T03:20:00Z,48.3580,-4.5518,0,100.538,13.287,33.921,,4.01,2.589,5.67,0.999,2.481,9818,95.189,8.504,3.957,0011174119111011111
6200450,0x3f,2024-12-01T03:40:00Z,48.3580,-4.5518,0,100.536,13.316,34.046,,4.027,2.605,5.65,0.983,2.563,9796,95.134,8.509,4.212,0011174119111011111
6200450,0x3f,2024-12-01T04:00:00Z,48.3580,-4.5518,0,100.538,13.312,33.981,,4.019,2.571,5.65,0.956,2.436,9785,94.935,8.509,4.23,0011174119111011111
6200450,0x3f,2024-12-01T04:20:00Z,48.3580,-4.5518,0,100.536,13.311,34.016,,4.024,2.608,5.65,0.951,3.421,9796,95.112,8.513,4.134,0011174119111011111
6200450,0x3f,2024-12-01T04:40:00Z,48.3580,-4.5518,0,100.538,13.278,33.985,,4.016,2.579,5.66,0.951,2.755,9807,95.079,8.51,4.421,0011174119111011111
6200450,0x3f,2024-12-01T05:00:00Z,48.3580,-4.5518,0,100.536,13.278,33.977,,4.016,2.58,5.65,0.951,2.439,9796,95.024,8.508,4.049,0011174119111011111
6200450,0x3f,2024-12-01T05:20:00Z,48.3580,-4.5518,,,13.276,33.967,,4.013,2.56,5.66,0.983,3.022,9807,95.079,8.509,3.946,0011199119111011111
6200450,0x3f,2024-12-01T05:20:01Z,48.3580,-4.5518,0,100.536,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T05:40:00Z,48.3580,-4.5518,0,100.536,13.271,33.965,,4.014,2.689,5.65,0.999,2.911,9796,95.024,8.512,4.008,0011174119111011111
6200450,0x3f,2024-12-01T06:00:00Z,48.3580,-4.5518,0,100.536,13.275,33.974,,4.014,2.607,5.66,0.961,2.995,9807,95.112,8.509,4.168,0011174119111011111
6200450,0x3f,2024-12-01T06:20:00Z,48.3580,-4.5518,0,100.536,13.277,33.986,,4.016,2.574,5.66,0.983,2.629,9807,95.134,8.514,4.087,0011174119111011111
6200450,0x3f,2024-12-01T06:40:00Z,48.3580,-4.5518,0,100.538,13.278,33.994,,4.017,2.606,5.67,0.966,2.929,9829,95.41,8.51,4.11,0011174119111011111
6200450,0x3f,2024-12-01T07:00:00Z,48.3580,-4.5518,0,100.539,13.284,33.999,,4.018,2.595,5.68,0.973,3.04,9840,95.377,8.512,3.987,0011174119111011111
6200450,0x3f,2024-12-01T07:20:00Z,48.3580,-4.5518,0,100.772,13.283,34.001,,4.018,2.585,5.66,0.951,2.665,9807,95.068,8.51,4.029,0011174119111011111
6200450,0x3f,2024-12-01T07:40:00Z,48.3580,-4.5518,0,105.06,13.284,34,,4.018,2.566,5.68,0.951,2.599,9840,95.388,8.513,4.166,0011174119111011111
6200450,0x3f,2024-12-01T08:00:00Z,48.3580,-4.5518,0,116.116,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T08:00:01Z,48.3580,-4.5518,,,,,26.343,,3,,,,,,,,0011199990979999999
6200450,0x3f,2024-12-01T09:00:00Z,48.3580,-4.5518,0,199.705,13.269,33.917,,4.009,2.602,5.66,0.983,2.382,9796,95.079,8.509,3.944,0011174119111011111
6200450,0x3f,2024-12-01T09:20:00Z,48.3580,-4.5518,0,230.115,13.269,33.882,,4.004,2.578,5.66,0.983,2.013,9796,95.112,8.513,4.068,0011174119111011111
6200450,0x3f,2024-12-01T09:40:00Z,48.3580,-4.5518,,,13.257,33.838,,3.999,2.573,5.66,0.921,2.187,9796,95.035,8.507,3.968,0011199119111011111
6200450,0x3f,2024-12-01T09:40:01Z,48.3580,-4.5518,0,555.954,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T10:00:00Z,48.3580,-4.5518,0,502.873,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T11:00:00Z,48.3580,-4.5518,,,13.279,33.841,,4.001,2.586,5.7,0.968,2.719,9862,95.587,8.512,3.863,0011199119111011111
6200450,0x3f,2024-12-01T11:20:00Z,48.3580,-4.5518,0,380.779,13.289,33.877,,4.006,2.586,5.68,0.983,2.463,9840,95.388,8.51,3.831,0011174119111011111
6200450,0x3f,2024-12-01T11:40:00Z,48.3580,-4.5518,,,13.292,33.944,,4.013,2.581,5.67,0.967,2.541,9829,95.344,8.515,3.953,0011199119111011111
6200450,0x3f,2024-12-01T11:40:01Z,48.3580,-4.5518,0,217.327,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-12-01T12:00:00Z,48.3580,-4.5518,0,402.485,13.311,33.876,,4.007,2.607,5.64,0.962,2.118,9774,94.88,8.508,4.457,0011174119111011111
6200450,0x3f,2024-12-01T12:20:00Z,48.3580,-4.5518,0,679.887,13.306,33.887,,4.009,2.59,5.68,0.999,2.388,9829,95.41,8.51,4.232,0011174119111011111
6200450,0x3f,2024-12-01T12:40:00Z,48.3580,-4.5518,0,844.195,13.311,33.935,,4.014,2.56,5.7,0.983,2.199,9873,95.863,8.511,3.983,0011174119111011111
6200450,0x3f,2024-12-01T13:00:00Z,48.3580,-4.5518,0,743.36,13.362,34.044,,4.031,2.578,5.7,0.983,2.295,9884,95.929,8.517,3.938,0011174119111011111
6200450,0x3f,2024-12-01T13:20:00Z,48.3580,-4.5518,0,828.41,13.411,34.116,,4.041,2.586,5.66,0.999,2.322,9807,95.234,8.516,4.33,0011174119111011111
6200450,0x3f,2024-12-01T13:40:00Z,48.3580,-4.5518,0,292.644,13.463,34.193,,4.056,2.595,5.67,0.983,2.71,9829,95.686,8.521,4.268,0011174119111011111
6200450,0x3f,2024-12-01T14:00:00Z,48.3580,-4.5518,0,223.145,13.442,34.158,,4.05,2.681,5.67,0.999,2.836,9840,95.819,8.525,3.976,0011174119111011111
6200450,0x3f,2024-12-01T14:20:00Z,48.3580,-4.5518,0,195.991,13.442,34.08,,4.042,2.629,5.73,0.983,2.548,9928,96.669,8.521,4.244,0011174119111011111
6200450,0x3f,2024-12-01T14:40:00Z,48.3580,-4.5518,0,249.165,13.413,34.083,,4.039,2.66,5.7,0.983,2.971,9873,96.04,8.52,4.268,0011174119111011111
6200450,0x3f,2024-12-01T15:00:00Z,48.3580,-4.5518,0,204.842,13.423,34.085,,4.041,2.599,5.69,0.999,3.412,9862,95.94,8.522,4.032,0011174119111011111
