PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),LGH4 LEVEL0 (micro einstein m-2 s-1),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200450,0x3f,2024-10-01T00:00:00Z,48.3580,-4.5518,0,100.537,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-10-01T00:00:01Z,48.3580,-4.5518,,,15.577,35.201,26.326,4.371,2.562,5.32,0.936,5.436,9243,94.206,8.355,6.846,0011199110111011111
6200450,0x3f,2024-10-01T00:20:00Z,48.3580,-4.5518,0,100.536,15.597,35.212,,4.374,2.59,5.36,0.966,10.394,9321,94.957,8.36,6.299,0011174119111011111
6200450,0x3f,2024-10-01T00:40:00Z,48.3580,-4.5518,0,100.536,15.583,35.214,,4.373,2.583,5.35,0.983,5.785,9299,94.759,8.353,6.854,0011174119111011111
6200450,0x3f,2024-10-01T01:00:00Z,48.3580,-4.5518,0,100.536,15.577,35.214,,4.372,2.55,5.34,0.936,6.737,9288,94.67,8.355,5.947,0011174119111011111
6200450,0x3f,2024-10-01T01:20:00Z,48.3580,-4.5518,0,100.536,15.556,35.237,,4.373,2.626,5.34,0.936,6.37,9277,94.56,8.358,6.297,0011174119111011111
6200450,0x3f,2024-10-01T01:40:00Z,48.3580,-4.5518,0,100.536,15.553,35.228,,4.372,2.524,5.32,0.948,6.926,9243,94.162,8.351,6.803,0011174119111011111
6200450,0x3f,2024-10-01T02:00:00Z,48.3580,-4.5518,0,100.537,15.551,35.236,,4.372,2.598,5.34,0.921,22.425,9277,94.438,8.354,7.105,0011174119111011111
6200450,0x3f,2024-10-01T02:20:00Z,48.3580,-4.5518,0,100.536,,,,,,,,,,,,,0011174999999999999
6200450,0x3f,2024-10-01T02:20:01Z,48.3580,-4.5518,,,15.515,35.264,,4.372,2.536,5.36,0.951,7.091,9321,94.869,8.359,6.644,0011199119111011111
