PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-09-01T00:00:00Z,50.7405,1.5677,19.571,33.924,,4.619,28.357,4.42,0,4.134,7581,82.968,0,10.555,00111119111011141
6200443,0x3f,2024-09-01T00:20:00Z,50.7405,1.5677,19.559,33.944,,4.62,28.357,4.32,0,5.654,7410,81.061,0,10.576,00111119111011141
6200443,0x3f,2024-09-01T00:40:00Z,50.7405,1.5677,19.558,33.915,,4.618,28.357,4.38,0,4.299,7520,82.247,0,12.029,00111119111011141
6200443,0x3f,2024-09-01T01:00:00Z,50.7405,1.5677,19.557,33.951,,4.62,28.357,4.35,0,3.873,7471,81.709,0,12.167,00111119111011141
6200443,0x3f,2024-09-01T01:20:00Z,50.7405,1.5677,19.552,33.964,,4.622,28.357,4.28,0,4.42,7349,80.486,0,11.732,00111119111011141
6200443,0x3f,2024-09-01T01:40:00Z,50.7405,1.5677,19.553,33.957,,4.622,28.357,4.41,0,3.903,7569,82.846,0,11.488,00111119111011141
6200443,0x3f,2024-09-01T02:00:00Z,50.7405,1.5677,19.543,33.932,,4.618,28.357,4.41,0,4.03,7569,82.797,0,10.831,00111119111011141
6200443,0x3f,2024-09-01T02:20:00Z,50.7405,1.5677,19.549,33.949,,4.619,28.357,4.5,0,4.652,7728,84.509,0,11.563,00111119111011141
6200443,0x3f,2024-09-01T02:40:00Z,50.7405,1.5677,19.552,33.949,,4.62,28.357,4.44,0,3.802,7618,83.274,0,10.746,00111119111011141
6200443,0x3f,2024-09-01T03:00:00Z,50.7405,1.5677,19.552,33.946,,4.62,28.357,4.4,0,3.882,7544,82.626,0,10.852,00111119111011141
6200443,0x3f,2024-09-01T03:20:00Z,50.7405,1.5677,19.543,33.956,,4.619,28.357,4.4,0,4.054,7557,82.675,0,9.686,00111119111011141
6200443,0x3f,2024-09-01T03:40:00Z,50.7405,1.5677,19.534,33.947,,4.617,28.357,4.36,0,4.301,7483,82.014,0,10.598,00111119111011141
6200443,0x3f,2024-09-01T04:00:01Z,50.7405,1.5677,19.523,33.923,,4.615,28.357,4.43,0,3.214,7605,83.152,0,10.237,00111119111011141
6200443,0x3f,2024-09-01T04:20:00Z,50.7405,1.5677,19.524,33.816,,4.6,28.357,4.31,0,3.757,7385,80.841,0,10.767,00111119111011141
6200443,0x3f,2024-09-01T04:40:00Z,50.7405,1.5677,19.525,33.82,,4.603,28.357,4.43,0,4.177,7593,82.944,0,10.948,00111119111011141
6200443,0x3f,2024-09-01T05:00:00Z,50.7405,1.5677,19.521,33.835,,4.602,28.357,4.21,0,3.822,7214,78.701,0,10.248,00111119111011141
6200443,0x3f,2024-09-01T05:20:01Z,50.7405,1.5677,19.523,33.855,,4.605,28.357,4.23,0,3.274,7263,79.434,0,10.799,00111119111011141
6200443,0x3f,2024-09-01T05:40:00Z,50.7405,1.5677,19.493,33.859,,4.605,28.357,3.46,0,2.954,5930,64.907,0,9.686,00111119111011141
6200443,0x3f,2024-09-01T06:00:01Z,50.7405,1.5677,19.471,33.868,,4.603,28.357,3.35,0,2.984,5747,62.767,0,9.834,00111119111011141
6200443,0x3f,2024-09-01T06:20:00Z,50.7405,1.5677,19.459,33.91,,4.605,28.357,3.7,0,2.487,6358,69.652,0,9.548,00111119111011141
6200443,0x3f,2024-09-01T06:40:00Z,50.7405,1.5677,19.451,33.955,,4.611,28.357,3.99,0,2.438,6847,74.543,0,9.611,00111119111011141
6200443,0x3f,2024-09-01T07:00:00Z,50.7405,1.5677,19.44,33.996,,4.622,28.357,4.17,0,2.5,7153,78.016,0,10.343,00111119111011141
6200443,0x3f,2024-09-01T07:20:00Z,50.7405,1.5677,19.443,34.092,,4.627,28.357,4.39,0,2.222,7544,82.491,0,8.933,00111119111011141
6200443,0x3f,2024-09-01T07:40:00Z,50.7405,1.5677,19.442,34.114,,4.63,28.357,4.28,0,1.982,7349,79.972,0,9.919,00111119111011141
6200443,0x3f,2024-09-01T08:00:00Z,50.7405,1.5677,19.459,34.148,,4.636,28.357,4.38,0,1.931,7520,82.076,0,9.728,00111119111011141
