PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),LGH4 LEVEL0 (micro einstein m-2 s-1),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200450,0x3f,2024-11-01T00:00:00Z,48.3580,-4.5518,0,100.534,14.734,34.774,,4.241,2.657,5.37,0.936,3.566,9321,93.257,8.431,4.204,0011174119111011111
6200450,0x3f,2024-11-01T00:00:01Z,48.3580,-4.5518,,,,,26.348,,3,,,,,,,,0011199990979999999
6200450,0x3f,2024-11-01T00:20:00Z,48.3580,-4.5518,0,100.533,14.738,34.782,,4.242,2.658,5.38,0.951,3.49,9343,93.5,8.433,4.083,0011174119111011111
6200450,0x3f,2024-11-01T00:40:00Z,48.3580,-4.5518,0,100.533,14.737,34.781,,4.242,2.659,5.38,0.951,4.355,9343,93.577,8.431,3.872,0011174119111011111
6200450,0x3f,2024-11-01T01:00:00Z,48.3580,-4.5518,0,100.533,14.736,34.763,,4.24,2.661,5.38,0.968,4.31,9332,93.455,8.432,3.738,0011174119111011111
6200450,0x3f,2024-11-01T01:20:00Z,48.3580,-4.5518,0,100.533,14.748,34.812,,4.247,2.659,5.39,0.912,4.623,9365,93.732,8.431,3.872,0011174119111011111
6200450,0x3f,2024-11-01T01:40:00Z,48.3580,-4.5518,0,100.531,14.741,34.819,,4.243,2.651,5.33,0.951,3.815,9255,92.616,8.427,4.255,0011174119111011111
6200450,0x3f,2024-11-01T02:00:00Z,48.3580,-4.5518,0,100.533,14.758,34.876,,4.254,2.646,5.36,0.951,4.875,9310,93.212,8.434,4.093,0011174119111011111
6200450,0x3f,2024-11-01T02:20:00Z,48.3580,-4.5518,,,14.744,34.855,,4.251,2.656,5.39,0.951,4.373,9365,93.732,8.431,4.006,0011199119111011111
6200450,0x3f,2024-11-01T02:20:01Z,48.3580,-4.5518,0,100.532,,,,,,,,,,,,,0011174999999999999
